2025-12-15 02:14:59,731 | INFO | File Uploaded to Staging: Uploaded item ID LCR23133 to staging bucket at staging/from_20250506_to_20250730/LCR23133.html.
2025-12-15 02:14:59,732 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23133 into staging collection.
2025-12-15 02:14:59,738 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23132.
2025-12-15 02:14:59,742 | INFO | File Uploaded to Staging: Uploaded item ID LCR23132 to staging bucket at staging/from_20250506_to_20250730/LCR23132.html.
2025-12-15 02:14:59,743 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23132 into staging collection.
2025-12-15 02:14:59,751 | INFO | HTML Transformation: Applied HTML cleaning for item ID EDA2549.
2025-12-15 02:14:59,755 | INFO | File Uploaded to Staging: Uploaded item ID EDA2549 to staging bucket at staging/from_20250506_to_20250730/EDA2549.html.
2025-12-15 02:14:59,757 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID EDA2549 into staging collection.
2025-12-15 02:14:59,763 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00052501.
2025-12-15 02:14:59,768 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00052501 to staging bucket at staging/from_20250506_to_20250730/ADJ-00052501.html.
2025-12-15 02:14:59,769 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00052501 into staging collection.
2025-12-15 02:14:59,774 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00054251.
2025-12-15 02:14:59,778 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00054251 to staging bucket at staging/from_20250506_to_20250730/ADJ-00054251.html.
2025-12-15 02:14:59,779 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00054251 into staging collection.
2025-12-15 02:14:59,785 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00053414.
2025-12-15 02:14:59,788 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00053414 to staging bucket at staging/from_20250506_to_20250730/ADJ-00053414.html.
2025-12-15 02:14:59,789 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00053414 into staging collection.
2025-12-15 02:14:59,797 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00046620.
2025-12-15 02:14:59,802 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00046620 to staging bucket at staging/from_20250506_to_20250730/ADJ-00046620.html.
2025-12-15 02:14:59,804 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00046620 into staging collection.
2025-12-15 02:14:59,810 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00002163.
2025-12-15 02:14:59,813 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00002163 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00002163.html.
2025-12-15 02:14:59,814 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00002163 into staging collection.
2025-12-15 02:14:59,820 | INFO | HTML Transformation: Applied HTML cleaning for item ID PWD2522.
2025-12-15 02:14:59,824 | INFO | File Uploaded to Staging: Uploaded item ID PWD2522 to staging bucket at staging/from_20250506_to_20250730/PWD2522.html.
2025-12-15 02:14:59,825 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID PWD2522 into staging collection.
2025-12-15 02:14:59,831 | INFO | HTML Transformation: Applied HTML cleaning for item ID TED2513.
2025-12-15 02:14:59,835 | INFO | File Uploaded to Staging: Uploaded item ID TED2513 to staging bucket at staging/from_20250506_to_20250730/TED2513.html.
2025-12-15 02:14:59,836 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID TED2513 into staging collection.
2025-12-15 02:14:59,842 | INFO | HTML Transformation: Applied HTML cleaning for item ID EDA2552.
2025-12-15 02:14:59,846 | INFO | File Uploaded to Staging: Uploaded item ID EDA2552 to staging bucket at staging/from_20250506_to_20250730/EDA2552.html.
2025-12-15 02:14:59,847 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID EDA2552 into staging collection.
2025-12-15 02:14:59,854 | INFO | HTML Transformation: Applied HTML cleaning for item ID PDD255.
2025-12-15 02:14:59,860 | INFO | File Uploaded to Staging: Uploaded item ID PDD255 to staging bucket at staging/from_20250506_to_20250730/PDD255.html.
2025-12-15 02:14:59,861 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID PDD255 into staging collection.
2025-12-15 02:14:59,867 | INFO | HTML Transformation: Applied HTML cleaning for item ID HSD257.
2025-12-15 02:14:59,872 | INFO | File Uploaded to Staging: Uploaded item ID HSD257 to staging bucket at staging/from_20250506_to_20250730/HSD257.html.
2025-12-15 02:14:59,873 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID HSD257 into staging collection.
2025-12-15 02:14:59,879 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23128.
2025-12-15 02:14:59,882 | INFO | File Uploaded to Staging: Uploaded item ID LCR23128 to staging bucket at staging/from_20250506_to_20250730/LCR23128.html.
2025-12-15 02:14:59,883 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23128 into staging collection.
2025-12-15 02:14:59,890 | INFO | HTML Transformation: Applied HTML cleaning for item ID PDD256.
2025-12-15 02:14:59,895 | INFO | File Uploaded to Staging: Uploaded item ID PDD256 to staging bucket at staging/from_20250506_to_20250730/PDD256.html.
2025-12-15 02:14:59,896 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID PDD256 into staging collection.
2025-12-15 02:14:59,903 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00003124.
2025-12-15 02:14:59,908 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00003124 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00003124.html.
2025-12-15 02:14:59,910 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00003124 into staging collection.
2025-12-15 02:14:59,915 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR-SC-00003388.
